ORF name,plate,row,column,new_row,new_coloum
Border,,,,1,1
Border,,,,1,2
Border,,,,1,3
Border,,,,1,4
Border,,,,1,5
Border,,,,1,6
Border,,,,1,7
Border,,,,1,8
Border,,,,1,9
Border,,,,1,10
Border,,,,1,11
Border,,,,1,12
Border,,,,1,13
Border,,,,1,14
Border,,,,1,15
Border,,,,1,16
Border,,,,1,17
Border,,,,1,18
Border,,,,1,19
Border,,,,1,20
Border,,,,1,21
Border,,,,1,22
Border,,,,1,23
Border,,,,1,24
Border,,,,2,1
,,,,2,2
,,,,2,3
,,,,2,4
,,,,2,5
,,,,2,6
,,,,2,7
,,,,2,8
,,,,2,9
,,,,2,10
,,,,2,11
,,,,2,12
,,,,2,13
,,,,2,14
,,,,2,15
,,,,2,16
,,,,2,17
,,,,2,18
,,,,2,19
,,,,2,20
,,,,2,21
,,,,2,22
,,,,2,23
Border,,,,2,24
Border,,,,3,1
,,,,3,2
,,,,3,3
,,,,3,4
,,,,3,5
,,,,3,6
,,,,3,7
,,,,3,8
,,,,3,9
,,,,3,10
,,,,3,11
,,,,3,12
,,,,3,13
,,,,3,14
,,,,3,15
,,,,3,16
,,,,3,17
,,,,3,18
,,,,3,19
,,,,3,20
,,,,3,21
,,,,3,22
,,,,3,23
Border,,,,3,24
Border,,,,4,1
,,,,4,2
,,,,4,3
,,,,4,4
,,,,4,5
,,,,4,6
,,,,4,7
,,,,4,8
,,,,4,9
,,,,4,10
,,,,4,11
,,,,4,12
,,,,4,13
,,,,4,14
,,,,4,15
,,,,4,16
,,,,4,17
,,,,4,18
,,,,4,19
,,,,4,20
,,,,4,21
,,,,4,22
,,,,4,23
Border,,,,4,24
Border,,,,5,1
,,,,5,2
,,,,5,3
,,,,5,4
,,,,5,5
,,,,5,6
,,,,5,7
,,,,5,8
,,,,5,9
,,,,5,10
,,,,5,11
,,,,5,12
,,,,5,13
,,,,5,14
,,,,5,15
,,,,5,16
,,,,5,17
,,,,5,18
,,,,5,19
,,,,5,20
,,,,5,21
,,,,5,22
,,,,5,23
Border,,,,5,24
Border,,,,6,1
,,,,6,2
,,,,6,3
,,,,6,4
,,,,6,5
,,,,6,6
,,,,6,7
,,,,6,8
,,,,6,9
,,,,6,10
,,,,6,11
,,,,6,12
,,,,6,13
,,,,6,14
,,,,6,15
,,,,6,16
,,,,6,17
,,,,6,18
,,,,6,19
,,,,6,20
,,,,6,21
,,,,6,22
,,,,6,23
Border,,,,6,24
Border,,,,7,1
,,,,7,2
,,,,7,3
,,,,7,4
,,,,7,5
,,,,7,6
,,,,7,7
,,,,7,8
,,,,7,9
,,,,7,10
,,,,7,11
,,,,7,12
,,,,7,13
,,,,7,14
,,,,7,15
,,,,7,16
,,,,7,17
,,,,7,18
,,,,7,19
,,,,7,20
,,,,7,21
,,,,7,22
,,,,7,23
Border,,,,7,24
Border,,,,8,1
,,,,8,2
,,,,8,3
,,,,8,4
,,,,8,5
,,,,8,6
,,,,8,7
,,,,8,8
,,,,8,9
,,,,8,10
,,,,8,11
,,,,8,12
,,,,8,13
,,,,8,14
,,,,8,15
,,,,8,16
,,,,8,17
,,,,8,18
,,,,8,19
,,,,8,20
,,,,8,21
,,,,8,22
,,,,8,23
Border,,,,8,24
Border,,,,9,1
,,,,9,2
,,,,9,3
,,,,9,4
,,,,9,5
,,,,9,6
,,,,9,7
,,,,9,8
,,,,9,9
,,,,9,10
,,,,9,11
,,,,9,12
,,,,9,13
,,,,9,14
,,,,9,15
,,,,9,16
,,,,9,17
,,,,9,18
,,,,9,19
,,,,9,20
,,,,9,21
,,,,9,22
,,,,9,23
Border,,,,9,24
Border,,,,10,1
,,,,10,2
,,,,10,3
,,,,10,4
,,,,10,5
,,,,10,6
,,,,10,7
,,,,10,8
,,,,10,9
,,,,10,10
,,,,10,11
,,,,10,12
,,,,10,13
,,,,10,14
,,,,10,15
,,,,10,16
,,,,10,17
,,,,10,18
,,,,10,19
,,,,10,20
,,,,10,21
,,,,10,22
,,,,10,23
Border,,,,10,24
Border,,,,11,1
,,,,11,2
,,,,11,3
,,,,11,4
,,,,11,5
,,,,11,6
,,,,11,7
,,,,11,8
,,,,11,9
,,,,11,10
,,,,11,11
,,,,11,12
,,,,11,13
,,,,11,14
,,,,11,15
,,,,11,16
,,,,11,17
,,,,11,18
,,,,11,19
,,,,11,20
,,,,11,21
,,,,11,22
,,,,11,23
Border,,,,11,24
Border,,,,12,1
,,,,12,2
,,,,12,3
,,,,12,4
,,,,12,5
,,,,12,6
,,,,12,7
,,,,12,8
,,,,12,9
,,,,12,10
,,,,12,11
,,,,12,12
,,,,12,13
,,,,12,14
,,,,12,15
,,,,12,16
,,,,12,17
,,,,12,18
,,,,12,19
,,,,12,20
,,,,12,21
,,,,12,22
,,,,12,23
Border,,,,12,24
Border,,,,13,1
,,,,13,2
,,,,13,3
,,,,13,4
,,,,13,5
,,,,13,6
,,,,13,7
,,,,13,8
,,,,13,9
,,,,13,10
,,,,13,11
,,,,13,12
,,,,13,13
,,,,13,14
,,,,13,15
,,,,13,16
,,,,13,17
,,,,13,18
,,,,13,19
,,,,13,20
,,,,13,21
,,,,13,22
,,,,13,23
Border,,,,13,24
Border,,,,14,1
,,,,14,2
,,,,14,3
,,,,14,4
,,,,14,5
,,,,14,6
,,,,14,7
,,,,14,8
,,,,14,9
,,,,14,10
,,,,14,11
,,,,14,12
,,,,14,13
,,,,14,14
,,,,14,15
,,,,14,16
,,,,14,17
,,,,14,18
,,,,14,19
,,,,14,20
,,,,14,21
,,,,14,22
,,,,14,23
Border,,,,14,24
Border,,,,15,1
,,,,15,2
,,,,15,3
,,,,15,4
,,,,15,5
,,,,15,6
,,,,15,7
,,,,15,8
,,,,15,9
,,,,15,10
,,,,15,11
,,,,15,12
,,,,15,13
,,,,15,14
,,,,15,15
,,,,15,16
,,,,15,17
,,,,15,18
,,,,15,19
,,,,15,20
,,,,15,21
,,,,15,22
,,,,15,23
Border,,,,15,24
Border,,,,16,1
Border,,,,16,2
Border,,,,16,3
Border,,,,16,4
Border,,,,16,5
Border,,,,16,6
Border,,,,16,7
Border,,,,16,8
Border,,,,16,9
Border,,,,16,10
Border,,,,16,11
Border,,,,16,12
Border,,,,16,13
Border,,,,16,14
Border,,,,16,15
Border,,,,16,16
Border,,,,16,17
Border,,,,16,18
Border,,,,16,19
Border,,,,16,20
Border,,,,16,21
Border,,,,16,22
Border,,,,16,23
Border,,,,16,24